Date,Open,High,Low,Close,Adj Close,Volume
06-05-2013,496.1499939,497.3999939,488.8250122,491.0750122,463.0895081,710626
07-05-2013,495.9500122,499,493,495.4750061,467.238678,1964836
08-05-2013,499.4249878,499.4249878,491.1499939,492.7749939,464.6925964,1158394
09-05-2013,491.125,492.5,471.7999878,474.125,447.1054077,2130960
10-05-2013,477.8999939,479.6000061,464.0750122,467.5249939,440.8815308,2265212
13-05-2013,479.8500061,481.3250122,470.125,471.9500122,445.0543518,1977412
14-05-2013,472.3999939,484,469,481.8500061,454.3901672,1824490
15-05-2013,480.5,488.0750122,478.75,487.0249939,459.2701721,2628462
16-05-2013,482,490.875,481.7999878,484.4249878,456.8183899,2135930
17-05-2013,485.0499878,488.2999878,479,483.0750122,455.5454102,829624
20-05-2013,487.3500061,494.8250122,479.3500061,482.9750061,455.4510498,1447280
21-05-2013,479.5750122,490.25,479.5750122,486.9750061,459.223175,1588402
22-05-2013,487.625,506.8500061,487.625,500.9500122,472.4016418,2406450
23-05-2013,490,508.25,490,503,474.3348999,2539658
24-05-2013,494.125,499.0249939,480.25,484.4249878,456.8183899,2623550
27-05-2013,485,513,480.9750061,506.8500061,477.9655151,3350316
28-05-2013,510.5,511.5,494.0750122,498.125,469.7377319,3192018
29-05-2013,520.2999878,540.3499756,510,532.875,502.5073242,7929878
30-05-2013,530.0999756,542.4000244,529.4000244,537.0999756,506.4916077,2747088
31-05-2013,531.7750244,535.5,518.5,522.0499878,492.2992859,4391362
03-06-2013,517,523.4249878,494.25,508.8250122,479.8279114,2791600
04-06-2013,505,516.375,499.3250122,509.125,480.1108704,2693116
05-06-2013,512.5,523,505.5499878,518.5,488.9515991,2588284
06-06-2013,515.0999756,516.9249878,506.375,509.0499878,480.0400696,1560132
07-06-2013,504,513.4000244,503.5249939,506.2250061,477.3760681,1767874
10-06-2013,509,509.8999939,494.0499878,499.3250122,470.8693542,2037266
11-06-2013,496.8250122,500.7250061,488.2999878,491.2000122,463.2073669,2888004
12-06-2013,491.2000122,495.6499939,485.75,490.3500061,462.4057922,2231638
13-06-2013,466.625,482,457.8500061,474.7000122,447.6477051,6768578
14-06-2013,476.6000061,481,471,476.7749939,449.6044006,1661092
17-06-2013,477.5,492.9500122,473.5499878,486.3500061,458.6336975,1932922
18-06-2013,485.125,490.4750061,482,485.9500122,458.2565308,1476768
19-06-2013,482.5,488.5,476.6499939,480.625,453.2349548,1286968
20-06-2013,475.5,492.4500122,471.5,484.6749878,457.0541992,3116684
21-06-2013,484,485.5,471.5750122,474.25,447.2232971,2758082
24-06-2013,474,482.375,470.0499878,473.5750122,446.5867615,1692162
25-06-2013,473.8999939,479.5750122,471.3250122,474.375,447.3411865,2229816
26-06-2013,475.5,478.5,467.9500122,469.6000061,442.8383179,1825544
27-06-2013,472.75,499.5,472.75,485.7999878,458.1150513,4283804
28-06-2013,490,508.0499878,490,505.7749939,476.9517212,3609114
01-07-2013,505.7749939,513.5,500.7749939,502.5,473.8633728,1421220
02-07-2013,504,513.75,500.0750122,503.9249878,475.2072144,1510760
03-07-2013,501.25,511,495.9750061,509.875,480.8180847,1825538
04-07-2013,515,558.2999878,497.5,515.3499756,485.9810486,1751098
05-07-2013,520,523.4500122,516,517.875,488.3622131,1077646
08-07-2013,518,525.5,513.5,521.3250122,491.615509,990634
09-07-2013,524,547.0499878,524,539.8499756,509.0847778,2219666
10-07-2013,541,548.2000122,533.0499878,540.7249756,509.9099426,1673354
11-07-2013,543,554.3499756,543,547.6749878,516.4639282,1155086
12-07-2013,555,557.5,545,554.3499756,522.7584229,1765166
15-07-2013,550.0250244,561.8499756,549.0750122,555.4749756,523.819397,1359632
16-07-2013,552,564.9249878,550.7999878,559.7999878,527.8978882,1068354
17-07-2013,561.125,565.7750244,551.0250244,556.4000244,524.6917725,2560946
18-07-2013,560,566.25,555.0499878,559.2000122,527.3321533,2067200
19-07-2013,559.5,563.2999878,536.8499756,540.0750122,509.2971191,3133700
22-07-2013,540.0750122,556.5,534,555,523.37146,2048418
23-07-2013,557,558.7249756,545.5,553.25,521.7211914,1785728
24-07-2013,552.5,565.4000244,551,563.625,531.5050049,1756166
25-07-2013,560.5999756,565.5,540.0999756,547.6500244,516.4403687,3198186
26-07-2013,554.4500122,562.1500244,550.5,558.6500244,526.8135376,2549844
29-07-2013,565,575.7000122,560.0499878,569.25,536.8093262,836269
30-07-2013,574.5,579.9000244,568.8499756,575.6500244,542.8447876,1805002
31-07-2013,578,581.0999756,560,565.2999878,533.0845337,3114492
01-08-2013,573,576,562.4000244,568.25,535.866272,1343683
02-08-2013,576.9000244,576.9000244,550.4500122,555.2000122,523.5600586,1152598
05-08-2013,563.9000244,563.9000244,545.0999756,549.5,518.1848755,883575
06-08-2013,548.1500244,548.9500122,535,538.2999878,507.62323,1041651
07-08-2013,540.5,541.2999878,515.2000122,522.0499878,492.2992859,1612383
08-08-2013,512,518.9000244,495,505.7000122,476.8809814,3169712
12-08-2013,521,552,521,541.7000122,510.8294678,3185173
13-08-2013,542.3499756,551.7000122,533.2000122,547.4500122,516.251709,1503470
14-08-2013,546.0999756,559,538,550.5499878,519.1751099,1488108
16-08-2013,548.1500244,553.9000244,535,542.4500122,511.5367432,3335121
19-08-2013,547,547,511.8999939,520.0999756,490.4603271,2188987
20-08-2013,514,514,491.25,507.3500061,478.4369812,2817923
21-08-2013,510,515.5999756,476.2999878,482.4500122,454.9559631,2632375
22-08-2013,481,507,475.3500061,502.2000122,473.5804749,2846075
23-08-2013,505.5499878,510.8999939,490,507.3500061,478.4369812,2992002
26-08-2013,514,522,510,517,487.5370178,1994208
27-08-2013,511.9500122,516.4500122,490,496.8500061,468.5353394,2859676
28-08-2013,496.8500061,513.5,476,505.3999939,476.598053,2472852
29-08-2013,509,515,493.6000061,510.6499939,481.5489502,2769581
30-08-2013,514,541,503,521.2000122,491.4977112,3273711
02-09-2013,523.7000122,532.5999756,522.0499878,528.4500122,498.3344421,869098
