Date,Open,High,Low,Close,Adj Close,Volume
2012-10-10,238.4499969482422,244.72500610351562,237.22500610351562,241.3249969482422,195.0999755859375,3788188
2012-10-11,236.25,246.0,236.0,244.875,197.969970703125,2088296
2012-10-12,242.2375030517578,247.83749389648438,239.52499389648438,240.46249389648438,194.40267944335938,1593976
2012-10-15,236.25,242.375,233.875,235.1374969482422,190.09765625,1050480
2012-10-16,231.2624969482422,238.4875030517578,228.8874969482422,236.16250610351562,190.9263458251953,1166736
2012-10-17,237.47500610351562,239.85000610351562,236.2624969482422,237.6374969482422,192.11878967285156,919592
2012-10-18,238.0,238.72500610351562,232.5500030517578,234.6374969482422,189.69345092773438,1194004
2012-10-19,235.4875030517578,235.5,229.6875,231.9875030517578,187.551025390625,1515140
2012-10-22,231.5,235.97500610351562,230.625,234.41250610351562,189.5115509033203,590340
2012-10-23,235.03750610351562,235.9375,232.0,232.85000610351562,188.24835205078125,569720
2012-10-25,232.625,233.5625,226.78750610351562,227.91250610351562,184.25657653808594,1656920
2012-10-29,229.8625030517578,233.72500610351562,228.22500610351562,232.39999389648438,187.88455200195312,1036496
2012-10-30,232.5,234.46249389648438,229.77499389648438,233.4375,188.7233123779297,941708
2012-10-31,235.0,238.47500610351562,232.77499389648438,237.1125030517578,191.69436645507812,1290900
2012-11-01,236.75,238.6125030517578,235.0,235.8249969482422,190.65345764160156,689504
2012-11-02,236.75,241.60000610351562,236.3125,237.89999389648438,192.3310089111328,1195196
2012-11-05,236.25,240.72500610351562,232.5,238.8625030517578,193.10914611816406,1545380
2012-11-06,248.75,248.75,239.97500610351562,240.8249969482422,194.6957244873047,2328976
2012-11-07,241.0,243.9875030517578,239.02499389648438,242.27499389648438,195.8679962158203,1027464
2012-11-08,240.64999389648438,241.25,237.5,238.66250610351562,192.94747924804688,833632
2012-11-09,239.75,240.25,234.27499389648438,234.7624969482422,189.79449462890625,687592
2012-11-12,234.0,237.5,233.5,236.91250610351562,191.53265380859375,482944
2012-11-15,234.8625030517578,235.7624969482422,228.25,229.5500030517578,185.58041381835938,775376
2012-11-16,229.5,231.8625030517578,226.33749389648438,227.72500610351562,184.10501098632812,1109112
2012-11-19,227.6999969482422,229.2375030517578,218.16250610351562,220.8125,178.5165557861328,2404956
2012-11-20,221.5625,224.66250610351562,218.0,221.0500030517578,178.70858764648438,1279712
2012-11-21,222.375,226.85000610351562,216.77499389648438,226.16250610351562,182.841796875,1496864
2012-11-22,226.22500610351562,228.85000610351562,222.3249969482422,227.52499389648438,183.94329833984375,1140924
2012-11-23,229.6374969482422,229.6374969482422,224.625,225.91250610351562,182.63966369628906,784276
2012-11-26,226.9375,228.47500610351562,226.0749969482422,226.97500610351562,183.49867248535156,786476
2012-11-27,226.97500610351562,228.375,220.5124969482422,223.52499389648438,180.70950317382812,1884840
2012-11-29,221.25,223.8125,218.875,220.1750030517578,178.0011749267578,2374248
2012-11-30,219.0124969482422,224.41250610351562,216.89999389648438,220.02499389648438,177.87989807128906,2775572
2012-12-03,220.53750610351562,225.5500030517578,219.60000610351562,222.97500610351562,180.26487731933594,1826440
2012-12-04,223.2624969482422,225.125,221.25,222.2624969482422,179.6888427734375,886344
2012-12-05,224.4375,224.4375,219.52499389648438,221.96249389648438,179.44630432128906,900008
2012-12-06,222.0,222.7375030517578,219.28750610351562,220.58749389648438,178.33465576171875,864668
2012-12-07,218.5,223.3249969482422,216.375,220.08749389648438,177.93043518066406,2303496
2012-12-10,220.0,221.5,217.25,218.53750610351562,176.67735290527344,1118428
2012-12-11,217.5124969482422,222.4499969482422,217.5,219.875,177.75865173339844,1683172
2012-12-12,219.25,232.8874969482422,218.75,228.52499389648438,184.7517547607422,16469336
2012-12-13,228.75,231.1875,227.125,229.58749389648438,185.6107635498047,3580800
2012-12-14,225.75,237.96249389648438,225.75,237.0500030517578,191.64382934570312,3587752
2012-12-17,238.0,239.125,231.25,238.1750030517578,192.5533447265625,4174144
2012-12-18,238.1875,238.5500030517578,235.0,236.6374969482422,191.31033325195312,1179128
2012-12-19,237.4875030517578,241.72500610351562,235.2624969482422,236.1125030517578,190.8859100341797,2237088
2012-12-20,236.6374969482422,236.9875030517578,230.39999389648438,231.53750610351562,187.18722534179688,4809536
2012-12-21,230.41250610351562,233.25,225.8249969482422,226.60000610351562,183.1955108642578,1617832
2012-12-24,228.71249389648438,230.75,224.58749389648438,225.91250610351562,182.63966369628906,1083132
2012-12-26,225.91250610351562,229.97500610351562,225.91250610351562,228.6875,184.8831329345703,939260
2012-12-27,228.77499389648438,234.1875,227.375,229.91250610351562,185.87351989746094,4514996
2012-12-28,232.35000610351562,232.35000610351562,228.1999969482422,230.1875,186.09580993652344,900880
2012-12-31,232.47500610351562,233.72500610351562,229.75,233.0625,188.42010498046875,1509632
2013-01-01,234.66250610351562,234.66250610351562,232.3125,233.41250610351562,188.70310974121094,543928
2013-01-02,233.25,235.5500030517578,231.33749389648438,234.9250030517578,189.9258575439453,1199844
2013-01-03,232.28750610351562,239.2624969482422,232.28750610351562,235.33749389648438,190.25936889648438,1138816
2013-01-04,236.2375030517578,239.3874969482422,231.875,235.625,190.49179077148438,1099620
2013-01-07,237.35000610351562,237.35000610351562,230.3125,231.7624969482422,187.36912536621094,989776
2013-01-08,231.47500610351562,232.4499969482422,228.125,231.60000610351562,187.23777770996094,996520
2013-01-09,232.89999389648438,236.21249389648438,231.6374969482422,234.85000610351562,189.86524963378906,1256708
2013-01-10,236.83749389648438,246.1875,236.3125,243.89999389648438,197.18173217773438,4860944
2013-01-11,245.6125030517578,252.9875030517578,244.75,247.33749389648438,199.9608154296875,3472872
2013-01-14,247.75,252.25,245.0,250.5,202.51751708984375,3108168
2013-01-15,252.08749389648438,255.4375,248.2624969482422,249.9499969482422,202.07286071777344,2345300
2013-01-16,248.8125,253.6750030517578,246.4375,249.47500610351562,201.68887329101562,2558020
2013-01-17,250.0124969482422,256.98748779296875,249.25,254.60000610351562,205.83216857910156,4187708
2013-01-18,255.0,256.7250061035156,248.1750030517578,249.7375030517578,201.90109252929688,1831904
2013-01-21,250.5124969482422,254.25,248.53750610351562,251.08749389648438,202.99249267578125,1627760
2013-01-22,249.53750610351562,251.6999969482422,244.375,245.1999969482422,198.2327117919922,1920612
2013-01-23,245.2624969482422,245.5,241.0625,241.75,195.44357299804688,1365436
2013-01-24,242.3874969482422,253.875,241.5,247.6374969482422,200.20333862304688,3062560
2013-01-25,248.0124969482422,252.5,246.0,251.625,203.4270477294922,1737524
2013-01-28,252.41250610351562,257.8999938964844,250.375,254.0124969482422,205.35720825195312,2316044
2013-01-29,254.47500610351562,255.83749389648438,248.6999969482422,250.3874969482422,202.42657470703125,1100908
2013-01-30,252.5,255.22500610351562,250.5625,252.75,204.3365478515625,1836600
2013-01-31,252.85000610351562,255.75,248.0625,249.7375030517578,201.90109252929688,1546092
2013-02-01,249.7375030517578,253.75,248.25,251.1999969482422,203.08346557617188,1615692
2013-02-04,250.75,253.47500610351562,246.25,247.58749389648438,200.16290283203125,412560
