,rmse,mae,corr,directional_accuracy,accuracy_pct
Hybrid GARCH-LSTM,0.18625270522085155,0.12839896727691388,0.9990398444807609,86.6390041493776,85.0
"GARCH(1,1)",1.2209720167774736,1.2175728717841068,0.6918508687287135,51.802575107296136,69.18508687287135
"EGARCH(1,1)",1.2222415253883254,1.2189312021323042,0.6767908179662051,51.802575107296136,67.67908179662051
"GJR-GARCH(1,1)",1.2196804431263106,1.215806108478842,0.6469509480826194,52.832618025751074,64.69509480826194
ARCH(1),1.2276164878079814,1.225371195071089,0.25340441960828736,51.158798283261795,25.340441960828734
